player_name,opponent_team,matches_bat,runs,balls_bat,fours,sixes,dismissals,strike_rate,avg_bat,matches_bowl,balls_bowl,runs_conceded,wickets,economy,avg_bowl
JP Kotze,Oman,6.0,122.0,95.0,17.0,4.0,95.0,128.42,1.28,0.0,0.0,0.0,0.0,0.0,0.0
JP Kotze,Uganda,2.0,16.0,14.0,1.0,1.0,14.0,114.29,1.14,0.0,0.0,0.0,0.0,0.0,0.0
JP Kotze,United States of America,1.0,13.0,8.0,2.0,0.0,8.0,162.5,1.62,0.0,0.0,0.0,0.0,0.0,0.0
JP Kotze,Zimbabwe,3.0,11.0,13.0,1.0,0.0,13.0,84.62,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Jahandad Khan,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,7.0,4.29,0.71
Jaker Ali,India,2.0,18.0,18.0,0.0,1.0,18.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaker Ali,Pakistan,7.0,127.0,100.0,6.0,9.0,100.0,127.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0
Jaker Ali,United States of America,1.0,8.0,5.0,2.0,0.0,5.0,160.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
Jaker Ali,Zimbabwe,2.0,19.0,11.0,1.0,1.0,11.0,172.73,1.73,0.0,0.0,0.0,0.0,0.0,0.0
KL Rahul,Bangladesh,5.0,65.0,47.0,4.0,4.0,47.0,138.3,1.38,0.0,0.0,0.0,0.0,0.0,0.0
KL Rahul,Ireland,1.0,14.0,9.0,0.0,1.0,9.0,155.56,1.56,0.0,0.0,0.0,0.0,0.0,0.0
KL Rahul,Namibia,1.0,10.0,6.0,1.0,0.0,6.0,166.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0
KL Rahul,New Zealand,2.0,23.0,12.0,3.0,1.0,12.0,191.67,1.92,0.0,0.0,0.0,0.0,0.0,0.0
KL Rahul,Pakistan,4.0,33.0,33.0,1.0,2.0,33.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KL Rahul,Zimbabwe,2.0,11.0,9.0,0.0,1.0,9.0,122.22,1.22,0.0,0.0,0.0,0.0,0.0,0.0
Kaleem Sana,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,6.0,1.0
Kaleem Sana,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,24.0,17.0,8.47,1.41
Kaleem Sana,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,19.0,19.0,6.0,1.0
Kaleem Sana,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,6.0,9.0,1.5
Kaleem Sana,Oman,1.0,2.0,4.0,0.0,0.0,4.0,50.0,0.5,6.0,55.0,62.0,55.0,6.76,1.13
Kaleem Sana,Pakistan,1.0,12.0,10.0,0.0,1.0,10.0,120.0,1.2,1.0,19.0,21.0,19.0,6.63,1.11
Kaleem Sana,United States of America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,43.0,33.0,7.82,1.3
Kaleemullah,Bangladesh,1.0,4.0,5.0,1.0,0.0,5.0,80.0,0.8,1.0,17.0,17.0,17.0,6.0,1.0
Kaleemullah,Canada,2.0,4.0,8.0,0.0,0.0,8.0,50.0,0.5,3.0,14.0,8.0,14.0,3.43,0.57
Kaleemullah,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,13.0,6.0,13.0,2.17
Kaleemullah,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,44.0,33.0,8.0,1.33
Kaleemullah,Nepal,2.0,3.0,7.0,0.0,0.0,7.0,42.86,0.43,5.0,30.0,46.0,30.0,9.2,1.53
Karan KC,Canada,1.0,5.0,2.0,1.0,0.0,2.0,250.0,2.5,1.0,12.0,26.0,12.0,13.0,2.17
Karan KC,India,1.0,12.0,7.0,1.0,1.0,7.0,171.43,1.71,0.0,0.0,0.0,0.0,0.0,0.0
Karan KC,Ireland,1.0,1.0,1.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Karan KC,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,17.0,7.0,14.57,2.43
Karan KC,Netherlands,1.0,6.0,2.0,0.0,1.0,2.0,300.0,3.0,1.0,8.0,9.0,8.0,6.75,1.12
Karan KC,Oman,3.0,41.0,24.0,3.0,3.0,24.0,170.83,1.71,4.0,43.0,76.0,43.0,10.6,1.77
Karan KC,United States of America,1.0,6.0,1.0,0.0,1.0,1.0,600.0,6.0,2.0,18.0,26.0,18.0,8.67,1.44
Khushdil Shah,Bangladesh,5.0,60.0,82.0,5.0,1.0,82.0,73.17,0.73,3.0,28.0,42.0,28.0,9.0,1.5
Khushdil Shah,India,2.0,6.0,9.0,0.0,0.0,9.0,66.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,21.0,33.0,3.82,0.64
Kuldeep Yadav,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,6.0,8.0,1.33
Kuldeep Yadav,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,74.0,78.0,74.0,6.32,1.05
Kushal Malla,Bangladesh,1.0,9.0,26.0,0.0,0.0,26.0,34.62,0.35,0.0,0.0,0.0,0.0,0.0,0.0
Kushal Malla,Canada,3.0,2.0,8.0,0.0,0.0,8.0,25.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Kushal Malla,India,1.0,21.0,18.0,2.0,1.0,18.0,116.67,1.17,0.0,0.0,0.0,0.0,0.0,0.0
Kushal Malla,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,20.0,5.0,24.0,4.0
Kushal Malla,Oman,5.0,54.0,62.0,3.0,1.0,62.0,87.1,0.87,2.0,6.0,10.0,6.0,10.0,1.67
Kushal Malla,United States of America,1.0,18.0,9.0,1.0,1.0,9.0,200.0,2.0,1.0,3.0,6.0,3.0,12.0,2.0
Liton Das,England,1.0,14.0,11.0,2.0,0.0,11.0,127.27,1.27,0.0,0.0,0.0,0.0,0.0,0.0
Liton Das,India,10.0,63.0,51.0,10.0,0.0,51.0,123.53,1.24,0.0,0.0,0.0,0.0,0.0,0.0
Liton Das,Nepal,1.0,1.0,6.0,0.0,0.0,6.0,16.67,0.17,0.0,0.0,0.0,0.0,0.0,0.0
Liton Das,Netherlands,2.0,13.0,8.0,2.0,0.0,8.0,162.5,1.62,0.0,0.0,0.0,0.0,0.0,0.0
Liton Das,New Zealand,2.0,12.0,6.0,2.0,0.0,6.0,200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Liton Das,Oman,1.0,6.0,7.0,0.0,0.0,7.0,85.71,0.86,0.0,0.0,0.0,0.0,0.0,0.0
Liton Das,Pakistan,11.0,203.0,166.0,13.0,8.0,166.0,122.29,1.22,0.0,0.0,0.0,0.0,0.0,0.0
Liton Das,United States of America,1.0,5.0,6.0,1.0,0.0,6.0,83.33,0.83,0.0,0.0,0.0,0.0,0.0,0.0
Liton Das,Zimbabwe,3.0,32.0,22.0,4.0,1.0,22.0,145.45,1.45,0.0,0.0,0.0,0.0,0.0,0.0
Mahedi Hasan,India,1.0,1.0,1.0,0.0,0.0,1.0,100.0,1.0,1.0,3.0,4.0,3.0,8.0,1.33
